"";"id";"paper_no";"species_complete";"simp_trait";"mean_variable"
"1";1;1000;"Cyclura nubila";"Mass";61,35
"2";20;1007;"Sceloporus scalaris";"Mass";0,2587
"3";21;1007;"Sceloporus virgatus";"Mass";0,3963
"4";22;1007;"Sceloporus aneus";"Mass";0,218
"5";23;1007;"Sceloporus undulatus";"Mass";0,547
"6";24;1007;"Sceloporus occidentalis";"Mass";0,62
"7";25;1007;"Urosaurus ornatus";"Mass";0,2091
"8";32;1015;"Sceloporus undulatus";"Mass";0,54
"9";35;1016;"Sceloporus undulatus";"Mass";0,031
"10";41;1020;"Apalone mutica";"Mass";5,31666666666667
"11";50;1023;"Tropidonophis mairii";"Mass";2,5
"12";73;1029;"Chelydra serpentina";"Mass";13,1189166666667
"13";77;1030;"Chelydra serpentina";"Mass";9,14
"14";81;1033;"Pantherophis obsoletus";"Mass";9,39
"15";90;1034;"Paroedura picta";"Mass";0,6417
"16";93;1035;"Chelydra serpentina";"Mass";9,86
"17";96;1036;"Chelydra serpentina";"Mass";7,87
"18";102;1041;"Chelodina expansa";"Mass";11,46
"19";122;1042;"Emydura macquarii";"Mass";26,8
"20";123;1042;"Chelonia mydas";"Mass";25,4
"21";133;1043;"Lampropholis guichenoti";"Mass";0,1591
"22";134;1043;"Bassiana duperreyi";"Mass";0,32185
"23";154;1047;"Podarcis muralis";"Mass";0,402666666666667
"24";159;1049;"Chelydra serpentina";"Mass";15,2166666666667
"25";162;1051;"Tropidonophis mairii";"Mass";2,16
"26";175;1053;"Sceloporus occidentalis";"Mass";0,7725
"27";184;1054;"Sceloporus occidentalis";"Mass";0,67
"28";198;1060;"Coluber constrictor";"Mass";5,6
"29";285;1067;"Pituophis melanoleucus";"Mass";32,3
"30";294;1077;"Mauremys mutica";"Mass";5,902
"31";296;1078;"Takydromus stejnegeri";"Mass";0,244
"32";305;1083;"Uta stansburiana";"Mass";0,35455
"33";331;1115;"Chamaeleo chamaeleon";"Mass";1,135
"34";332;1119;"Gekko japonicus";"Mass";0,55
"35";339;1120;"Pelodiscus sinensis";"Mass";5,41
"36";351;1126;"Lampropholis delicata";"Mass";0,219166666666667
"37";352;1126;"Saproscincus mustelinus";"Mass";0,230933333333333
"38";353;1126;"Anepischetosia maccoyi";"Mass";0,203866666666667
"39";412;1127;"Takydromus septentrionalis";"Mass";23,14515
"40";440;1132;"Takydromus septentrionalis";"Mass";0,363333333333333
"41";444;1133;"Takydromus septentrionalis";"Mass";0,3514
"42";449;1134;"Chinemys reevesii";"Mass";102,990083333333
"43";455;1141;"Agama impalearis";"Mass";1,12
"44";462;1143;"Bassiana duperreyi";"Mass";0,47375
"45";466;1144;"Bassiana duperreyi";"Mass";0,325
"46";483;1154;"Bassiana duperreyi";"Mass";0,2675
"47";493;1158;"Chelodina rugosa";"Mass";6,07
"48";512;1185;"Carlia longipes";"Mass";0,4
"49";525;1186;"Anolis carolinensis";"Mass";0,594444444444444
"50";530;1188;"Anolis carolinensis";"Mass";0,455
"51";538;1191;"Mauremys mutica";"Mass";16,2144444444444
"52";550;1194;"Oligosoma suteri";"Mass";1,4175
"53";561;1197;"Ctenophorus decresii";"Mass";1,16
"54";567;1198;"Chlamydosaurus kingii";"Mass";4,81
"55";585;1224;"Apalone mutica";"Mass";5,57
"56";595;1227;"Chelydra serpentina";"Mass";8,32
"57";600;1228;"Chrysemys picta";"Mass";9,6
"58";610;1229;"Podarcis muralis";"Mass";0,3472
"59";620;1230;"Pelodiscus sinensis";"Mass";5,25
"60";623;1231;"Naja atra";"Mass";13,35
"61";633;1232;"Elaphe carinata";"Mass";11,4325
"62";644;1235;"Calotes versicolor";"Mass";0,63035
"63";666;1236;"Bungarus multicinctus";"Mass";7,4
"64";674;1237;"Plestiodon chinensis";"Mass";0,6425
"65";680;1239;"Alligator mississippiensis";"Mass";2397,93333333333
"66";686;1243;"Pseudemys nelsoni";"Mass";14,08
"67";692;1247;"Heteronotia binoei";"Mass";0,23575
"68";712;1261;"Chrysemys picta";"Mass";6,03
"69";713;1261;"Trachemys scripta";"Mass";10,43
"70";722;1262;"Trachemys scripta";"Mass";7,515
"71";723;1262;"Chrysemys picta";"Mass";5,12
"72";736;1266;"Scincella modesta";"Mass";45,10055
"73";747;1267;"Lacerta agilis";"Mass";2,8202625
"74";761;1268;"Centrochelys sulcata";"Mass";62,4407692307692
"75";777;1270;"Takydromus septentrionalis";"Mass";0,2928
"76";779;1272;"Ptyas dhumnades";"Mass";10,31
"77";798;1273;"Deinagkistrodon acutus";"Mass";20,8
"78";815;1283;"Natrix natrix";"Mass";18,13261
"79";824;1284;"Natrix natrix";"Mass";2,83
"80";832;1285;"Scincella modesta";"Mass";53,95495
"81";855;1286;"Xenochrophis piscator";"Mass";1,55
"82";859;1287;"Scincella modesta";"Mass";0,104666666666667
"83";864;1298;"Chelydra serpentina";"Mass";12,25
"84";868;1300;"Elusor macrurus";"Mass";6,91
"85";878;1301;"Elusor macrurus";"Mass";6,6
"86";887;1307;"Lacerta schreiberi";"Mass";1,21
"87";904;1316;"Apalone mutica";"Mass";6,28888888888889
"88";918;1319;"Emys orbicularis";"Mass";5,07
"89";924;1322;"Sphenodon punctatus";"Mass";11,1
"90";935;1327;"Chelydra serpentina";"Mass";9,7
"91";938;1328;"Chelydra serpentina";"Mass";9,45
"92";947;1332;"Sceloporus undulatus";"Mass";0,59
"93";962;1340;"Chrysemys picta";"Mass";4,74033333333333
"94";972;1343;"Takydromus wolteri";"Mass";70,8070666666667
"95";986;1344;"Caiman latirostris";"Mass";60
"96";993;1346;"Sceloporus undulatus";"Mass";0,647
"97";1003;1348;"Pantherophis obsoletus";"Mass";9,78955
"98";1014;1352;"Varanus albigularis";"Mass";23,1933333333333
"99";1018;1360;"Caiman latirostris";"Mass";42
"100";1024;1365;"Phrynocephalus frontalis";"Mass";0,94
"101";1025;1365;"Phrynocephalus versicolor";"Mass";0,765
"102";1047;1367;"Sceloporus virgatus";"Mass";0,48125
"103";1060;1369;"Lampropholis guichenoti";"Mass";0,1525
"104";1067;1370;"Lampropholis guichenoti";"Mass";0,1482
"105";1070;1372;"Calotes versicolor";"Mass";1,687
"106";1084;1388;"Caretta caretta";"Mass";23,45
"107";1101;1402;"Zootoca vivipara";"Mass";22,8771666666667
"108";1109;1404;"Zootoca vivipara";"Mass";0,2295
"109";1127;1419;"Bassiana duperreyi";"Mass";0,29
"110";1128;1419;"Nannoscincus maccoyi";"Mass";0,16
"111";1139;1420;"Nannoscincus maccoyi";"Mass";0,1578
"112";1148;1430;"Bassiana duperreyi";"Mass";0,4465
"113";1154;1435;"Bassiana duperreyi";"Mass";0,267
"114";1161;1437;"Liasis fuscus";"Mass";30,9866666666667
"115";1173;1448;"Gopherus agassizii";"Mass";18,9664
"116";1180;1452;"Paroedura picta";"Mass";0,89
"117";1181;1454;"Chelydra serpentina";"Mass";59,975
"118";1199;1460;"Phrynocephalus przewalskii";"Mass";0,86
"119";1200;1460;"Phrynocephalus versicolor";"Mass";0,74
"120";1216;1464;"Bassiana duperreyi";"Mass";0,295
"121";1225;1469;"Eublepharis macularius";"Mass";43,26
"122";1244;1488;"Emys orbicularis";"Mass";6,595
"123";1266;1510;"Crocodylus porosus";"Mass";69,6
"124";1273;1511;"Tropidonophis mairii";"Mass";2,545
"125";1285;1525;"Trachemys scripta";"Mass";7,55
"126";1287;1527;"Hemidactylus bowringii";"Mass";0,2616
"127";1302;1539;"Plestiodon chinensis";"Mass";0,6761
"128";1331;1570;"Mauremys reevesii";"Mass";3,67
"129";1344;1574;"Mauremys reevesii";"Mass";4,17
"130";1355;1577;"Amphibolurus muricatus";"Mass";2,35666666666667
"131";1370;1604;"Pelodiscus sinensis";"Mass";3,59
"132";1378;1609;"Plestiodon chinensis";"Mass";0,6069
"133";1380;1625;"Caretta caretta";"Mass";19,5
"134";1400;1651;"Psammodromus algirus";"Mass";0,615
"135";1438;1663;"Mauremys mutica";"Mass";7,715
"136";1457;1337;"Terrapene ornata";"Mass";10,471
"137";1466;1551;"Chelonia mydas";"Mass";37,405
"138";1474;1534;"Phrynocephalus przewalskii";"Mass";0,673
"139";1484;1638;"Plestiodon chinensis";"Mass";0,6875
"140";1501;1666;"Oedura lesueurii";"Mass";0,44
"141";1510;1670;"Anolis sagrei";"Mass";0,17
"142";1518;1673;"Iberolacerta cyreni";"Mass";0,67875
"143";1527;1571;"Pelodiscus sinensis";"Mass";5,445
"144";1538;1581;"Alligator mississippiensis";"Mass";259,35
"145";1558;1573;"Ocadia sinensis";"Mass";4,487
"146";1565;1573;"Mauremys mutica";"Mass";6,4971
"147";1567;1575;"Elseya albagula";"Mass";24,7
